02:49:30.807 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
18:37:23.378 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
18:37:23.420 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-auth 192.168.182.1:9200 register finished
18:37:23.657 [main] INFO  c.r.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 20.707 seconds (JVM running for 28.903)
18:37:23.674 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth.yml, group=DEFAULT_GROUP
18:37:23.681 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth-dev.yml, group=DEFAULT_GROUP
18:37:23.682 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth, group=DEFAULT_GROUP
18:37:23.910 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9da6ea7c-28c6-4686-9581-c648a2bcc8ad] Receive server push request, request = NotifySubscriberRequest, requestId = 78
18:37:23.921 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9da6ea7c-28c6-4686-9581-c648a2bcc8ad] Ack server push request, request = NotifySubscriberRequest, requestId = 78
18:37:35.208 [http-nio-9200-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:50:24.509 [nacos-grpc-client-executor-3793] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9da6ea7c-28c6-4686-9581-c648a2bcc8ad] Receive server push request, request = NotifySubscriberRequest, requestId = 90
23:50:24.510 [nacos-grpc-client-executor-3793] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9da6ea7c-28c6-4686-9581-c648a2bcc8ad] Ack server push request, request = NotifySubscriberRequest, requestId = 90
23:53:56.685 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
23:53:56.692 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
23:53:57.028 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
23:53:57.028 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@7499a6ba[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
23:53:57.029 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656239668902_192.168.2.2_59431
23:53:57.031 [nacos-grpc-client-executor-3840] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1656239668902_192.168.2.2_59431]Ignore complete event,isRunning:false,isAbandon=false
23:53:57.036 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@15843c10[Running, pool size = 6, active threads = 0, queued tasks = 0, completed tasks = 3841]
23:54:27.670 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
23:54:30.635 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0
23:54:30.833 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 118 ms to scan 1 urls, producing 3 keys and 6 values 
23:54:30.914 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 30 ms to scan 1 urls, producing 4 keys and 9 values 
23:54:30.942 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 22 ms to scan 1 urls, producing 3 keys and 10 values 
23:54:31.286 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 338 ms to scan 175 urls, producing 0 keys and 0 values 
23:54:31.302 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 5 values 
23:54:31.322 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 1 keys and 7 values 
23:54:31.354 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 2 keys and 8 values 
23:54:31.682 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 322 ms to scan 175 urls, producing 0 keys and 0 values 
23:54:31.692 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
23:54:31.693 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$380/70244212
23:54:31.694 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$381/1944653854
23:54:31.696 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
23:54:31.698 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
23:54:31.722 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
23:54:34.644 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656258701241_192.168.2.2_62876
23:54:34.645 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Notify connected event to listeners.
23:54:34.647 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
23:54:34.649 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4ea573e6-6223-45ef-b0e2-e959440bca7d_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$390/355318380
23:54:34.845 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
23:54:40.055 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
23:54:40.057 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:54:40.057 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
23:54:40.346 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:54:42.941 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
23:54:43.565 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 5c5dba50-e634-443f-a0d6-dffc34c67b2c
23:54:43.566 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] RpcClient init label, labels = {module=naming, source=sdk}
23:54:43.571 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
23:54:43.571 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
23:54:43.573 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
23:54:43.573 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
23:54:43.706 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656258710576_192.168.2.2_63015
23:54:43.706 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Notify connected event to listeners.
23:54:43.706 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
23:54:43.707 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$390/355318380
23:54:45.174 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
23:54:45.219 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-auth 192.168.182.1:9200 register finished
23:54:45.456 [main] INFO  c.r.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 19.682 seconds (JVM running for 27.371)
23:54:45.475 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth.yml, group=DEFAULT_GROUP
23:54:45.481 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth-dev.yml, group=DEFAULT_GROUP
23:54:45.482 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth, group=DEFAULT_GROUP
23:54:45.716 [nacos-grpc-client-executor-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Receive server push request, request = NotifySubscriberRequest, requestId = 100
23:54:45.725 [nacos-grpc-client-executor-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5c5dba50-e634-443f-a0d6-dffc34c67b2c] Ack server push request, request = NotifySubscriberRequest, requestId = 100
23:54:48.534 [http-nio-9200-exec-2] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:59:00.366 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
23:59:00.372 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
23:59:00.708 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
23:59:00.708 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@6f31ff42[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
23:59:00.708 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656258710576_192.168.2.2_63015
23:59:00.712 [nacos-grpc-client-executor-73] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1656258710576_192.168.2.2_63015]Ignore complete event,isRunning:false,isAbandon=false
23:59:00.715 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@65199d9e[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 74]
23:59:40.637 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
23:59:43.051 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 0a560227-3863-49cf-971a-247661737e41_config-0
23:59:43.248 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 119 ms to scan 1 urls, producing 3 keys and 6 values 
23:59:43.354 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 36 ms to scan 1 urls, producing 4 keys and 9 values 
23:59:43.391 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 27 ms to scan 1 urls, producing 3 keys and 10 values 
23:59:43.771 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 372 ms to scan 175 urls, producing 0 keys and 0 values 
23:59:43.791 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 1 keys and 5 values 
23:59:43.826 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 29 ms to scan 1 urls, producing 1 keys and 7 values 
23:59:43.853 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 2 keys and 8 values 
23:59:44.188 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 327 ms to scan 175 urls, producing 0 keys and 0 values 
23:59:44.199 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
23:59:44.200 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$378/688599330
23:59:44.201 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$379/1737697114
23:59:44.203 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
23:59:44.206 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
23:59:44.226 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
23:59:47.012 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656259013636_192.168.2.2_64751
23:59:47.013 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Notify connected event to listeners.
23:59:47.015 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
23:59:47.016 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0a560227-3863-49cf-971a-247661737e41_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$388/1152793498
23:59:47.206 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
23:59:51.421 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
23:59:51.422 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:59:51.422 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
23:59:51.667 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:59:53.682 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
23:59:54.147 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 7746c25a-3798-43b4-bc52-356bcfb7ebcf
23:59:54.148 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] RpcClient init label, labels = {module=naming, source=sdk}
23:59:54.151 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
23:59:54.152 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
23:59:54.153 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
23:59:54.153 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
23:59:54.270 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656259021144_192.168.2.2_64782
23:59:54.270 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Notify connected event to listeners.
23:59:54.270 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
23:59:54.271 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$388/1152793498
23:59:55.326 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
23:59:55.391 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-auth 192.168.182.1:9200 register finished
23:59:55.582 [main] INFO  c.r.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 17.06 seconds (JVM running for 24.95)
23:59:55.596 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth.yml, group=DEFAULT_GROUP
23:59:55.599 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth-dev.yml, group=DEFAULT_GROUP
23:59:55.599 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth, group=DEFAULT_GROUP
23:59:55.832 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Receive server push request, request = NotifySubscriberRequest, requestId = 142
23:59:55.840 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [7746c25a-3798-43b4-bc52-356bcfb7ebcf] Ack server push request, request = NotifySubscriberRequest, requestId = 142
